Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
DMXL2	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted, autosomal recessive	Sensorineural Hearing Loss;ORPHA90636;OMIM:612186, Developmental and epileptic encephalopathy 81 ORPHA:1934,OMIM:618663,ORPHA:453533,OMIM:617605,OMIM:616113						
DNAJC5	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Ceroid lipofuscinosis, neuronal, 4, Parry type	162350"						
DNAJC6	1	autosomal recessive	Parkinson disease 19b, early-onset ORPHA:391411,ORPHA:2828,OMIM:615528						
DNM1	1	autosomal dominant	Developmental and epileptic encephalopathy 31 ORPHA:442835,OMIM:616346,ORPHA:2382						
DNM1L	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, 614388;refractory epilepsy;refractory focal status epilepticus OMIM:610708,ORPHA:330050,ORPHA:98673,OMIM:614388	both disorders are progressive					
DNM2	1	autosomal recessive	Charcot-Marie-Tooth disease OMIM:160150,OMIM:615368,ORPHA:169189,OMIM:606482						
DNMT1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neuropathy, hereditary sensory, type IE, 614116; Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant, 604121;CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN OMIM:604121,OMIM:614116,ORPHA:314404						
DOCK7	1	autosomal recessive	Developmental and epileptic encephalopathy 23 ORPHA:411986,OMIM:615859						
EARS2	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with thalamus and brainstem involvement and high lactate (LTBL);General Leukodystrophy & Mitochondrial Leukoencephalopathy;Combined oxidative phosphorylation deficiency 12						
EIF2AK2	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome, 618877, Dystonia 33 OMIM:618877,OMIM:619687,ORPHA:256						
EIF2B1	1	BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease;Childhood Ataxia with Central Nervous System Hypomyelination/Vanishing White Matter 						
EIF2B2	1	BIALLELIC, autosomal or pseudoautosomal	Childhood Ataxia with Central Nervous System Hypomyelination;Leukoencephalopathy with vanishing white matter, 603896;Ovarioleukodystrophy, 603896;eIF2B related disorder (Vanishing WM Disease or CACH);General Leukodystrophy & Mitochondrial Leukoencephalopathy						
EIF2B3	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with vanishing white matter 603896;eIF2B related disorder (Vanishing WM Disease or CACH);General Leukodystrophy & Mitochondrial Leukoencephalopathy						
EIF2B4	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephaly with vanishing white matter, 603896;Ovarioleukodystrophy, 603896						
EIF2B5	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with vanishing white matter, 603896;Ovarioleukodystrophy, 603896;eIF2B related disorder (Vanishing WM Disease or CACH);General Leukodystrophy & Mitochondrial Leukoencephalopathy						
ELOVL4	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 34 133190, Stargardt disease 3, Ichthyosis, spastic quadriplegia, and mental retardation, Stargardt disease 3, 600110Macular dystrophy, autosomal dominant, chromosome 6-linked, 600110Ichthyosis, spastic quadriplegia, and mental retardation, 614457;ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION ORPHA:827,OMIM:614457,ORPHA:1955,OMIM:133190,OMIM:600110	CAVE: allelic disorders not all are eligible, SA is slowly progressive					
EPG5	1	BIALLELIC, autosomal or pseudoautosomal	Vici syndrome, 242840; IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM OMIM:242840,ORPHA:1493						
EPM2A	1	BIALLELIC, autosomal or pseudoautosomal	"Epilepsy, progressive myoclonic 2A (Lafora)	ORPHA:501,OMIM:254780"						
ERCC6	1	BIALLELIC, autosomal or pseudoautosomal	Cockayne syndrome;UV-sensitive syndrome;General Leukodystrophy & Mitochondrial Leukoencephalopathy, De Sanctis-Cacchione syndrome, ORPHA:1466,ORPHA:90321,OMIM:214150,OMIM:616946,ORPHA:90324,OMIM:211980,ORPHA:90322,OMIM:133540,OMIM:278800,OMIM:600630						
ERCC8	1	BIALLELIC, autosomal or pseudoautosomal	Cockayne Syndrome;UV-sensitive syndrome;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:614621,ORPHA:90321,ORPHA:90324,ORPHA:90322,OMIM:216400						
ERLIN1	1	BIALLELIC, autosomal or pseudoautosomal	Hereditary spastic paraplegia;Spastic paraplegia 62, OMIM:615681,ORPHA:401785						
ERLIN2	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 18, autosomal recessive,  611225;Spastic paraplegia, autosomal dominant;hereditary spastic paraplegia;neurodegeneration OMIM:611225,ORPHA:247604,ORPHA:280384,ORPHA:209951						
ETHE1	1	BIALLELIC, autosomal or pseudoautosomal	"Ethylmalonic encephalopathy	OMIM:602473,ORPHA:51188"						
EXOSC3	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 1B, OMIM:614678						
EXOSC8	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 1C, OMIM:616081;neuronopathy, distal hereditary motor, MONDO:0000075	might be too fast progressing					
FA2H	1	BIALLELIC, autosomal or pseudoautosomal	"Spastic paraplegia 35, autosomal recessive	612319, Dystonia;fatty acid hydroxylase-associated neurodegeneration OMIM:612319,ORPHA:171629,ORPHA:329308"						
FAM126A	1	BIALLELIC, autosomal or pseudoautosomal	Hypomyelination and Congenital Cataract;Leukodystrophy, hypomyelinating, 5, 610532						
FARS2	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 77, autosomal recessive, 617046, Combined oxidative phosphorylation deficiency 14 ORPHA:466722,OMIM:617046,OMIM:614946	SP slowly progressive					
FBXO7	1	BIALLELIC, autosomal or pseudoautosomal	Dystonia;juvenile parkinsonism ORPHA:171695,OMIM:260300	might be too slowly progressive					
FGD4	1	autsosomal recessive	Charcot-Marie-Tooth disease, type 4H OMIM:609311						
FGF12	1	autosomal dominant	Developmental and epileptic encephalopathy 47 ORPHA:442835,OMIM:617166						
