Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
ISCA-37392-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	intellectual disability;609757;behavior problems;abnormal gait and station;cardiovascular disease;phonologic disorders;distinctive facial features;neurologic abnormalities;speech sound disorders						
ISCA-37392-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	194050;Williams syndrome						
ISCA-37393-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID 22890013: variable phenotype including developmental delay, ocular coloboma, preauricular tags/pits, cleft palate, skeletal defects, heart defects, urogenital defect, anal defect, hearing loss, clinodactyly of fifth fingers, umbilical hernia, accessory spleen, strabismus, shortening of the fifth finger. PMID 22495764: Inter and intra individual variability of phenotype, mosaic. PMID 11693792: preauricular skin tags and pits, downslanting palpebral fissures, hypertelorism, ectopic anus, hypospadias, and hypoplastic left heart syndrome;115470						
ISCA-37394-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	2q37 deletion syndrome is a condition that can affect many parts of the body. This condition is characterized by weak muscle tone (hypotonia) in infancy, mild to severe intellectual disability and developmental delay, behavioral problems, characteristic facial features, and other physical abnormalities. PMID 23188045 brachydactyly-mental retardation syndrome, Albright hereditary osteodystrophy-like syndrome, developmental delay and behavioural abnormalities in combination;600430						
ISCA-37396-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Chromosome 15q24 deletion syndrome, 613406;PMID: 22180641 intellectual disability, growth retardation, unusual facial morphology;developmental delay, severe speech problems;PMID:19557438 Developmental delay, short stature, hypotonia, digital abnormalities, joint laxity, genital abnormalities, characteristic facial features;PMID:614294 Developmental delay, loose connective tissue, digital and genital anomalies, distinct facial gestalt, congenital diaphragmatic hernia						
ISCA-37397-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	seizures;failure to thrive;ADHD;heart defects;speech disturbances;hypernasal speech;hearing impariment;abnormal behaviour;developmental delay;hypotonia;micro- or macrocephaly						
ISCA-37397-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	diaphragmatic hernia;mild skeletal abnormalities;uterine didelphys;611867;DiGeorge syndrome (DGS);clinodactyly;velocardiofacial syndrome;ADHD;Goldenhar syndrome;prematurity;developmental delay;micropephaly;cardiovascular defects;Seizures;global developmental delay;language delay;prenatal and postnatal growth delay;Hyptonia						
ISCA-37400-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	614671;intellectual disability;delayed development;autism;specific deficits in speech or language						
ISCA-37400-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	seizures;intellectual disability;Chiari malformations;cerebellar ectopia;611913;mental retardation;Macrocephaly;developmental delay;autism spectrum disorder (ASD);vertebral anomalies						
ISCA-37401-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Wilms tumor, aniridia, genitourinary anomalies and mental retardation syndrome;194072						
ISCA-37404-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	chromosome 15q11-q13 duplication syndrome;include autism, mental retardation, ataxia, seizures, developmental delays, and behavioral problems;608636;delayed development and intellectual disability associated with abnormal behavior and dysmorphic facial features. Additional variable features may include thin corpus callosum on brain imaging and sleep disturbances. Carrier females may be mildly affected						
ISCA-37404-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	microcephaly;105833;Developmental delay, muscle weakness;Mental retardation;Angelman syndrome;176270;Prader-Willi syndrome						
ISCA-37405-Loss	3	BIALLELIC, autosomal or pseudoautosomal	juvenile nephronophthisis 1: including growth retardation.  Joubert syndrome: multisystem disease characterized by cerebellar vermis hypoplasia with prominent superior cerebellar peduncles (resulting in the 'molar tooth sign,' or MTS, on axial MRI), mental retardation, hypotonia, irregular breathing pattern, and eye movement abnormalities;266900;609583						
ISCA-37406-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID: 10573006 death in infancy, accessory spleens, hypoplastic left heart, abnormal pulmonary lobulation, renal agenesis (patient 1), severe neonatal seizures (patient 2). PMID 16783566: failure to thrive, life-threatening malformations, and/or critical infections, and all died in infancy (5 weeks, 7 months, and 9 months, respectivelyFrom Genetics Home Reference: short stature, moderate to severe intellectual disability, distinctive facial features, and broad thumbs and first toes;610543						
ISCA-37408-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID: 16963482 idiopathic intellectual disability including moderate to severe intellectual disability, autism/autistic features, microcephaly, structural brain anomalies including cortical dysplasia/pachygyria, renal anomalies (multicystic kidney, hydronephrosis), digital camptodactyly, visual impairment, strabismus, neuromotor deficits, communication and attention impairments, and a distinctive pattern of craniofacial features. Dysmorphic craniofacial features include progressive microcephaly, flat occiput, widened inner canthal distance, small palpebral fissures, ptosis, long and straight eyelashes, broad and high nasal root extending to a widened, prominent nasal tip with elongated, smooth philtrum, rounding of the upper vermillion border and everted lower lips. PMID: 18245392 A 32-year-old, mentally retarded male was referred to our centre for further clinical genetic analysis. He was born to non-consanguineous parents after 42 weeks gestation with a birth weight of 3500 g. He had a healthy older brother. In the neonatal period he was hypotonic and at 8 weeks of age he underwent surgery because of an inguinal hernia with removal of an atrophic right testis. His motor development was severely delayed with sitting at 3.5 years and walking at 5 years of age. Speech was poorly developed, characterised by the usage of only a few words. During infancy an optic nerve hypoplasia was diagnosed, and during childhood he frequently suffered from luxations of the patellae, which required surgery. At the age of 32 years his height is 163 cm (_3 SDS) and head circumference 52.5 cm (_2.5 SDS). He has a narrow receding forehead, widened inner canthal distance of 3.5 cm (90th centile), normal outer canthal distance of 8.5 cm (25th centile), telecanthus, short and down slanting palpebral fissures, epicanthal folds, ptosis, long, straight eyelashes, high nasal bridge, low set large ears, flat philtrum, small mouth with high, narrow palate and retrognathia. The thorax is broad with increased internipple distance and slight gynaecomastia. A recent renal ultrasound revealed multiple cysts in the left, dystrophic kidney and two uncomplicated cysts in the enlarged, right kidney. The patient has a normally sized phallus with absent right testis and small left testis. His hands show a simian crease right and tapering fingers with broad proximal interphalangeal joints. He shows sandal gaps on both flat feet with clinodactyly of the fourth and fifth toes (and more);612513;PMID: 22579565 severe developmental delay, congenital microcephaly, intractable epilepsy, and renal anomalies, as well as a congenital choledochal cyst which has not been previously reported in other patients with this cytogenetic defect						
ISCA-37411-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID: 19289393 incomplete penetrance for developmental delay, mental retardation, or borderline IQ in most and autistic spectrum disorder (6/14), speech delay, aggressiveness, attention deficit hyperactivity disorder, and other behavioural problems;612001;PMID: 18278044  mental retardation, epilepsy and variable facial and digital dysmorphisms;PMID: 19136953 idiopathic generalized epilepsy without other features previously associated with 15q13.3 microdeletions, such as intellectual disability, autism or schizophrenia						
ISCA-37415-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual disability;Developmental delay;Autism;Aortopathy						
ISCA-37415-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID: 18550696 Phenotypic variability, common features were identified: mental retardation, microcephaly and epilepsy in three patients, two of these had also short stature, and two other deletion carriers ascertained prenatally presented with cleft lip and midline defects						
ISCA-37418-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	infantile hypotonia, failure to thrive, mental retardation, autistic features, sleep apnea, and structural cardiovascular anomalies;610883;characterized by hypotonia, poor feeding, failure to thrive, developmental delay, mild-moderate intellectual deficit, and neuropsychiatric disorders. Structural cardiovascular anomalies (dilated aortic root, bicommissural aortic valve, atrial/ventricular and septal defects) and sleep disturbance (obstructive and central sleep apnea) are also frequently associated						
ISCA-37418-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Smith-Magenis syndrome, OMIM:182290;Smith-Magenis syndrome, MONDO:0008434						
ISCA-37420-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID: 18628315 developmental delay, hypotonia, facial dysmorphisms including a long face, a tubular or pear-shaped nose and a bulbous nasal tip, and a friendly/amiable behaviour, other clinically important features include epilepsy, heart defects and kidney/urologic anomalies;610443;PMID: 25217958;Koolen-De Vries syndrome 610443						
ISCA-37421-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Chromosome 1q21.1 duplication syndrome;ncomplete penetrance and variable expression characterized by macrocephaly, developmental delay, intellectual disability, psychiatric disturbances (autism spectrum disorder, attention deficit hyperactivity disorder, schizophrenia, mood disorders) and mild facial dysmorphism (high forehead, hypertelorism). Other associated features include congenital heart defects, hypotonia, short stature, scoliosis;612475;1q21.1 microduplication syndrome						
ISCA-37421-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	dysmorphic features;612474;Moderate mental retardation, microcephaly, cardiac abnormalities, and cataracts;mild to moderate developmental delay						
ISCA-37423-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Behavioral problems, cleft lip and/or palate, macrocephaly, and seizures were confirmed as additional features among the new patients, and novel features included neonatal respiratory distress, attention deficit hyperactivity disorder (ADHD), ocular anomalies, balance problems, hypotonia, and hydrocele.;mild to moderate developmental delay, intellectual disability, mild facial dysmorphism (incl. prominent forehead, arched eyebrows, broad nasal bridge, upturned nares, cleft lip and/or palate) and congenital cardiac anomalies (e.g., atrioventricular septal defect). Other reported features include macrocephaly, behavioral abnormalities (e.g., attention deficit disorder), seizures, hypotonia and ocular and digital anomalies (poly/syndactyly);congenital heart disease;8p23.1 duplication syndrome						
ISCA-37423-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	prenatal and postnatal growth retardation, low birth weight, mild to moderate intellectual deficit, psychomotor retardation, poor speech, seizures, behavioral problems such as hyperactivity and impulsiveness. Frequent craniofacial abnormalities include microcephaly, high and narrow forehead, broad nasal bridge, epicanthic folds, high arched palate, short neck and low set unusually shaped ears. Furthermore congenital heart defects (atrioventricular, septal defects, pulmonary stenosis), congenital diaphragmatic hernia and in boys cryptorchidism and hypospadias have been frequently reported.;congenital heart defects, microcephaly, psychomotor delay and behavioural problems;hyperactivity, craniofacial abnormalities;8p23.1 microdeletion syndrome;moderate intellectual disability						
ISCA-37424-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	PMID 20345475 macrocephaly, hypertelorism, and arachnodactyly, and neurodevelopmental delay that includes failure to thrive, hypotonia, and feeding difficulties in the neonatal period, and receptive and expressive language delay with global neurodevelopmental delay after the neonatal period.  PMID: 21248748 developmental delay, mainly affecting speech. In addition, macrocephaly, mild facial dysmorphisms, cerebellar anomalies, cardiac defects and congenital breast aplasia;PMID: 25217958 none specified;PMID: 24550761 age-appropriate language development evaluated by a standardized test at an age of 2 years and 3 months. The boy was born with a cleft palate - a feature not present in any of the patients described before,  phenotype of patients with an LCR3/4-flanked 10q22.3q23.2 deletion can be rather variable						
ISCA-37425-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Microcephaly, short stature and developmental delay;short stature, microcephaly, learning disability or mild to moderate ID, and distinctive facial features comprising periorbital fullness, short palpebral fissures, a long nose with broad or long nasal tip, a smooth philtrum and a thin upper lip vermilion. Behavioral problems, ocular and minor hand anomalies may be associated.						
ISCA-37425-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	macrocephaly, overgrowth and advanced bone age;colpocephaly;Sotos syndrome;macrocephaly;117550;rapid growth, acromegalic features, and a nonprogressive cerebral disorder with mental retardation. High-arched palate and prominent jaw						
ISCA-37429-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	194190;Wolf-Hirschhorn syndrome						
ISCA-37430-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	613215;Chromosome 17p13.3 duplication syndrome;variable psychomotor delay and dysmorphic features;17q11.2 microduplication syndrome						
ISCA-37430-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	microcephaly, dysgenesis of the corpus callosum, and cerebellar atrophy, as well as neurobehavioral disorders, including delayed development, mental retardation, and attention deficit-hyperactivity disorder. Patients with duplications of YWHAE tended to have macrosomia, facial dysmorphism, and mild developmental delay;growth restriction, craniofacial dysmorphisms, structural abnormalities of brain and cognitive impairment;Chromosome 17p13.3 duplication syndrome;prominent forehead, bitemporal hollowing, short nose with upturned nares, protuberant upper lip, thin vermilion border, and small jaw;Characteristic facies, pre- and post-natal growth retardation;247200;classic lissencephaly (pachygyria, incomplete or absent gyration of the cerebrum), microcephaly, wrinkled skin over the glabella and frontal suture, prominent occiput, narrow forehead, downward slanting palpebral fissures, small nose and chin, cardiac malformations, hypoplastic male extrenal genitalia, growth retardation, and mental deficiency with seizures and EEG abnormalities;Miller-Dieker lissencephaly syndrome						
ISCA-37431-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	early onset of baldness (15 years old), dental enamel hypoplasia and minor facial dysmorphism;Chromosome 17q11.2 deletion syndrome, 1.4Mb;DD/ID, facial dysmorphisms, and seizures						
ISCA-37431-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	dysmorphic features, cardiac anomalies and mental retardation;613675;variable facial dysmorphism,  cafe-au-lait spots, neurofibromas and Lisch nodules in the iris, mental retardation, developmental delay, an excessive number of early-onset neurofibromas and an increased risk for malignant peripheral nerve sheath tumors;NEUROFIBROMATOSIS 1 MICRODELETION SYNDROME;NF1 MICRODELETION SYNDROME;Chromosome 17q11.2 deletion syndrome, 1.4Mb						
ISCA-37432-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	developmental delay, mild to severe intellectual disability, speech delay, seizures, microcephaly, behavioral abnormalities, autism spectrum disorder, eye or vision defects (such as strabismus, astigmatism, amblyopia, cataract, coloboma, and microphthalmia), non-specific dysmorphic features, hypotonia, cardiac and renal anomalies, schizophrenia;Speech and language delay;Seizures (not all);Chromosome 17q12 duplication syndrome;614526;Behavioural difficulties						
ISCA-37432-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	RCAD syndrome;utero-vaginal atresia;Schizophrenia;614527;delayed development, intellectual disability;Renal cysts and diabetes syndrome;Autism Spectrum Disorder;Mayer-Rokitansky-Kster-Hauser (MRKH) syndrome in females;Chromosome 17q12 deletion syndrome;global developmental delay						
ISCA-37433-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	608363;Chromosome 22q11.2 microduplication syndrome;dysmorphic facial features, cognitive deficits, velopharyngeal insufficiency, congenital heart defects and immunologic derangement;delayed psychomotor development, growth retardation, and/or hypotonia						
ISCA-37433-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Learning difficulties;immune deficiency;renal anomalies;cleft palate, polydactyly;22q11.2 deletion syndrome;diaphragmatic hernia;192430;polyhydramnios;DiGeorge syndrome;Velocardiofacial syndrome;188400;facial dysmorphic features, high frequency of cardiac defects, including conotruncal defects, prematurity, growth restriction, microcephaly, and mild developmental delay;congenital heart disease						
ISCA-37434-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	posteriorly rotated, low-set, abnormal ears;brachycephaly;epicanthus;heart defects;pointed chin;deep-set eyes;microcephaly;hypotonia;seizures;poor/absent speech;central nervous system anomalies;large anterior fontanels;microbrachycephaly;mental retardation;growth impairment;large, late-closing anterior fontanel;flat nose;nasal bridge;developmental delay;hearing impairment;distinct dysmorphic features;1p36 deletion syndrome;607872						
ISCA-37439-Gain	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	28300815;Chromosome Xq duplication syndrome						
ISCA-37440-Loss	3	BIALLELIC, autosomal or pseudoautosomal	mild/moderate mental retardation;facial dysmorphism;Hypotonia-cystinuria syndrome (HCS);2p21 deletion syndrome;rapid weight gain in late childhood;failure to thrive;growth hormone deficiency;606407;lactic acidemia;respiratory chain complex IV deficiency;hyperphagia;minor facial dysmorphism;severe somatic and developmental delay;nephrolithiasis;cystinuria;neonatal seizures;hypotonia						
ISCA-37441-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Potocki-Shaffer syndrome;multiple exostoses;biparietal foramina;intellectual disability;strabismus;minor craniofacial anomalies;myopia;ophthalmologic anomalies;601224;mental retardation;enlarged anterior fontanel;genital abnormalities in males;parietal foramina;developmental delay						
ISCA-37443-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	. mild to moderate mental retardation, with only slightly dysmorphic facial features that were similar in most patients: long and narrow face, short philtrum, and high nasal bridge. Autism, gait ataxia, chest wall deformity, and long and tapering fingers were noted in at least 2 of the 6 patients. delayed psychomotor development with mild to moderate mental retardation and/or learning disabilities with speech delay. All had low birth weight, microcephaly, high nasal bridge, and short philtrum, and 3 had clinodactyly of the toes.  primary pulmonary hypertension, patent ductus arteriosus (PDA), subvalvular aortic stenosis, and gastroesophageal reflux, and required neonatal intensive care for 57 days after birth due to complications of meconium aspiration. He had mild dysmorphic features, including posteriorly rotated ears, shallow orbits, frontal bossing, prominent nose, long thin lip, and broad face. He also had bilateral sandal gap toes, single palmar creases, and bilateral inguinal hernia. However, he was developmentally normal at age 6 months. delayed psychomotor development with delayed waking and poor motor skills, autism with speech delay, mental retardation, and psychiatric disturbances, including aggression, anxiety, hyperactivity, and bipolar disorder with psychosis in 1. Both had dysmorphic features, including high nasal bridge, asymmetric face, and crowded/dysplastic teeth;1 had micrognathia and epicanthal folds. Both had tapered fingers. 609425;Chromosome 3q29 microdeletion syndrome						
ISCA-37446-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	608363;intellectual disability and congenital abnormalities,Autism;chromosome 22q11.2 microduplication;heart defects, urogenital abnormalities, velopharyngeal insufficiency with or without cleft palate, and ranging from multiple defects to mild learning difficulties with some individuals being essentially normal						
ISCA-37446-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	micrognathia;neonatal hypocalcemia, which may present as tetany or seizures, due to hypoplasia of the parathyroid glands, and susceptibility to infection due to a deficit of T cells;clefting;DiGeorge syndrome;Velocardiofacial syndrome;188400;cardiac malformations;Hearing deficits						
ISCA-37468-Loss	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	episodes of sudden loss of muscle tone;severe intellectual disability;exiting behavior;short stature;eleveated serotonin levels;autistic features;lip-smacking;hypotonia;stereotypical hand movements						
ISCA-37478-Gain	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	hypotonia and motor delays, intellectual disability, autism spectrum disorder (ASD), and epilepsy including infantile spasms, 608636;chromosome 15q11-q13 duplication syndrome;autism, mental retardation, ataxia, seizures, developmental delays, and behavioral problems						
ISCA-37478-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	microcephaly;Developmental delay, muscle weakness;Mental retardation;Angelman syndrome;176270;Prader-Willi syndrome;105830						
ISCA-37486-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	developmental delay;613444;obesity						
ISCA-37493-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	microcephaly;seizures;agenesis of the corpus callosum;intellectual disability;hand and foot anomalies;612337;non-specific craniofacial anomalies;hypoplasia;psychomotor retardation;hypogenesis of the corpus callosum						
ISCA-37494-Gain	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Chromosome Xq28 duplication syndrome, 300815;X linked intellectual disability (XLID);PMID: 25927380 cognitive impairment, behavioral problems, distinctive facial features;duplication affects males with a recognizable syndrome, females exhibiting milder phenotypes;PMID:21984752 behavioural abnormalities (hyperactivity and aggressiveness), characteristic facial features (high forehead, upper eyelid fullness, broad nasal bridge and thick lower lip);PMID:24357492 Cognitive impairment in male patients						
ISCA-37494-Loss	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	PMID: 25927380 cognitive impairment, behavioral problems, distinctive facial features;deletion results in skewed chromosome X inactivation and no clinical phenotype in females;PMID: 21984752 in utero male lethality with deletions						
ISCA-37500-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	mild to moderate cognitive deficit;Diamond-Blackfan anemia;intellectual disability;614294;anemia;congenital diaphragmatic hernia;cryptorchidism in males;severe speech and psychomotor delay;mental retardation;postnatal short stature;behavioral problem;mild dysmorphic feature;developmental delay						
ISCA-37501-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Chromosome 17q23.1-q23.2 deletion syndrome, 613355;PMID:20206336 mild to moderate developmental delay (particularly speech delay), microcephaly, postnatal growth retardation, heart defects, hand, foot and limb abnormalities;PMID: 22052739 Developmental delay, heart defects, microcephaly, postnatal growth retardation, hand, foot and limb abnormalities, sensorineural hearing loss						
ISCA-46290-Gain	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Idiopathic mental retardation, speech delay, and a peculiar electroencephalographic (EEG) pattern in childhood. Autism and epilepsy, severe intellectual disability and dysmorphic facial features. Moderate to severe intellectual disability, early onset of puberty, language impairment, and age related epileptic syndromes such as West syndrome and focal epilepsy with activation during sleep evolving in some patients to continuous spikes-and-waves during slow sleep;300801						
ISCA-46295-Loss	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	seizures;20236110;mental retardation;22775350;dysmorphic features;developmental delay;severe epileptic encephalopathy						
ISCA-46299-Gain	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	X linked intellectual disability (XLID);PMID: 26692240 Mild profound intellectual disability, speech delay, failure to thrive, hand abnormalities, motor delay, abnormal palate;PMID:22840365 Mild intellectual disability;PMID:26692240 Region 2 (53,160,114 53,713,154 bp Within Chromosome Xp11.22)						
ISG15	3	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 38 616126						
ISPD	3	BIALLELIC, autosomal or pseudoautosomal	Congenital Muscular Dystrophy, alpha-dystroglycan related;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type	most patients die in first year of life					
IVD	3	BIALLELIC, autosomal or pseudoautosomal	"Isovaleric acidemia	ORPHA:33,OMIM:243500"	systemic pathology					
JPH3_CTG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Huntington disease-like 2, OMIM:606438						
KCNJ2	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Andersen syndrome, OMIM:170390;Andersen-Tawil syndrome, MONDO:0008222;Episodic weakness;Periodic paralysis OMIM:170390,ORPHA:51083,ORPHA:37553,OMIM:613980,OMIM:609622						
KCNK18	3	autosomal dominant	MIGRAINE, WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 13; OMIM:613656						
KCNQ2	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myokymia, 121200 ORPHA:178469,ORPHA:1949,OMIM:613720,OMIM:121200,ORPHA:439218,ORPHA:306	patients become seizure free after a few years					
L1CAM	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	CRASH syndrome, OMIM:303350;MASA syndrome, OMIM:303350;Hydrocephalus due to aqueductal stenosis, OMIM:307000;Hydrocephalus with congential idiopathic intestinal pseudoobstruction, OMIM:307000;Hydrocephalus with Hirschsprung disease, OMIM:307000 ORPHA:306617,OMIM:304100,ORPHA:2466,OMIM:307000,OMIM:303350,ORPHA:1497,ORPHA:2182						
LAMA2	3	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy, congenital merosin-deficient, 607855Muscular dystrophy, congenital, due to partial LAMA2 deficiency, 607855;CONGENITAL MUSCULAR DYSTROPHY ORPHA:258,OMIM:618138,OMIM:607855	mainly muscular dystrophy, maybe some treatable neurological phenotype					
LAMP2	3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Danon disease, 300257;DANON DISEASE (DAND) ORPHA:34587,OMIM:300257	mainly extraneuronal and no treatble neurological phenotype					
LDB3	3	autosomal dominant	OMIM:601493,ORPHA:154,ORPHA:98912,OMIM:609452	no treatable neurological phenotype					
LIG3	3	BIALLELIC, autosomal or pseudoautosomal	gut dysmotility;spasticity;ataxia;repetitive behaviours;neurogenic bladder;macular degeneration;leukoencephalopathy;cerebellar atrophy;mitochondrial DNA depletion ORPHA:298,OMIM:619780	multisystemic					
LIPA	3	autsomal recessive	OMIM:278000,ORPHA:75233,ORPHA:75234	not neurological					
LTBP2	3	autosomal recessive	OMIM:614819,ORPHA:3449,ORPHA:98976,OMIM:251750,OMIM:613086,OMIM:600975	no treatable neurological phenotype					
MACF1	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Lissencephaly 9 with complex brainstem malformation, 618325	congenital					
MAPT	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Supranuclear palsy, progressive OMIM:172700,OMIM:601104,ORPHA:275864,ORPHA:240085,ORPHA:240071,ORPHA:240103,ORPHA:100070,ORPHA:240094,ORPHA:240112,ORPHA:100069,OMIM:168600,OMIM:260540,OMIM:600274						
METTL23	3	autosomal recessive	Mental retardation, autosomal recessive 44 ORPHA:88616,OMIM:615942	phenotype not severe enough					
MLPH	3		OMIM:609227,ORPHA:79478	no neurological abnormalities					
MMACHC	3	BIALLELIC, autosomal or pseudoautosomal	Ataxia and hypogonadism;Methylmalonic aciduria and homocystinuria, cblC type, ORPHA:79282,OMIM:277400	systemic pathology					
MMP14	3		OMIM:277950,ORPHA:371428 Multicentric osteolysis-nodulosis-arthropathy spectrum	not neurological					
MMUT	3	BIALLELIC, autosomal or pseudoautosomal	"Methylmalonic aciduria, mut(0) type	ORPHA:289916,ORPHA:79312,OMIM:251000"						
MOG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Narcolepsy 7,OMIM:614250,ORPHA:2073	multisystemic					
MPLKIP	3	BIALLELIC, autosomal or pseudoautosomal	Trichothiodystrophy, nonphotosensitive OMIM:234050,ORPHA:33364	slowly progressive					
MRPS16	3	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 2;Mitochondrial Leukoencephalopathy;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:610498						
MYOT	3		ORPHA:98911,OMIM:609200,ORPHA:266,OMIM:182920	muscular disorder					
MYT1L	3	autosomal dominant	Intellectual developmental disorder, autosomal dominant 39 ORPHA:178469,OMIM:616521,ORPHA:528084	phenotype not severe enough					
NBN	3	autosomal recessive	Nijmegen breakage syndrome ORPHA:647,ORPHA:145,OMIM:609135,OMIM:613065,OMIM:251260						
NDUFA10	3	BIALLELIC, autosomal or pseudoautosomal	"Leigh syndrome	256000 ORPHA:255241,OMIM:618243"						
NDUFAF1	3	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy ORPHA:2609,OMIM:618234	systemic disorder					
NOP56_GGCCTG	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 36, OMIM:614153						
NOTCH3	3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dementia  ORPHA:2789,OMIM:125310,ORPHA:136,ORPHA:2591,OMIM:130720,OMIM:615293						
OCRL	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lowe syndrome, 309000Dent disease 2, 300555;LOWE OCULOCEREBRORENAL SYNDROME (OCRL) OMIM:300555,OMIM:309000,ORPHA:534	questionable treatable neurological phenotype					
